-56.8,-73.9,11.07,-8.8
-56.82,-73.56,11.1,-8.78
-56.56,-73.34,11.13,-8.74
-56.23,-73.22,11.17,-8.69
-55.76,-73.18,11.19,-8.64
-55.19,-73.18,11.18,-8.6
-54.58,-73.21,11.15,-8.54
-53.97,-73.25,11.13,-8.49
-53.4,-73.25,11.1,-8.44
-52.96,-73.19,11.08,-8.39
-52.68,-73.03,11.06,-8.35
-52.48,-72.83,11.03,-8.31
-52.34,-72.59,11,-8.27
-52.26,-72.32,10.97,-8.23
-52.27,-72.03,10.94,-8.19
-52.22,-71.79,10.89,-8.15
-52.24,-71.53,10.85,-8.12
-52.29,-71.29,10.8,-8.08
-52.05,-71.26,10.76,-8.05
-51.48,-71.38,10.72,-8.02
-50.9,-71.53,10.69,-7.99
-50.46,-71.6,10.65,-7.96
-50.17,-71.58,10.61,-7.93
-49.99,-71.49,10.58,-7.9
-49.72,-71.42,10.54,-7.87
-49.42,-71.34,10.51,-7.84
-49.15,-71.27,10.48,-7.79
-48.85,-71.18,10.46,-7.74
-48.67,-71.07,10.44,-7.7
-48.59,-70.9,10.39,-7.66
-48.46,-70.77,10.35,-7.61
-48.2,-70.67,10.34,-7.55
-47.9,-70.61,10.34,-7.49
-47.64,-70.57,10.34,-7.43
-47.44,-70.53,10.35,-7.38
-47.33,-70.46,10.37,-7.32
-47.32,-70.37,10.39,-7.26
-47.35,-70.26,10.42,-7.22
-47.51,-70.14,10.46,-7.18
-47.8,-69.99,10.49,-7.15
-48.09,-69.8,10.49,-7.1
-48.25,-69.6,10.53,-7.06
-48.22,-69.49,10.58,-7.04
-47.98,-69.47,10.62,-7.02
-47.53,-69.5,10.67,-7.01
-47.24,-69.53,10.72,-7.01
-46.92,-69.54,10.76,-7
-46.75,-69.53,10.81,-7
-46.58,-69.51,10.85,-7.01
-46.25,-69.44,10.89,-7.02
-46.18,-69.42,10.92,-7.04
-45.97,-69.37,10.95,-7.06
-45.85,-69.32,10.98,-7.08
-45.8,-69.25,11.01,-7.11
-45.77,-69.16,11.03,-7.11
-45.81,-69.07,11.05,-7.11
-45.84,-69.01,11.06,-7.11
-45.83,-68.97,11.07,-7.11
-45.84,-68.97,11.07,-7.11
-45.91,-69,11.06,-7.11
-46.01,-69.04,11.05,-7.1
-46.07,-69.11,11.04,-7.08
-46.14,-69.16,11.03,-7.06
-46.22,-69.21,11.02,-7.03
-46.38,-69.19,11.01,-7.01
-46.45,-69.15,11,-7
-46.49,-69.11,10.99,-6.98
-46.43,-69.1,10.97,-6.96
-46.33,-69.09,10.96,-6.94
-46.21,-69.1,10.95,-6.93
-46.14,-69.09,10.94,-6.93
-46.14,-69.06,10.92,-6.92
-46.15,-69.02,10.9,-6.92
-46.13,-68.97,10.88,-6.92
-46.1,-68.95,10.87,-6.93
-46.07,-68.94,10.85,-6.92
-45.99,-68.95,10.83,-6.91
-45.92,-68.94,10.8,-6.9
-45.83,-68.93,10.79,-6.88
-45.67,-68.92,10.77,-6.87
-45.48,-68.93,10.76,-6.86
-45.26,-68.96,10.75,-6.86
-45,-68.97,10.74,-6.84
-44.85,-68.99,10.72,-6.82
-44.7,-68.98,10.71,-6.8
-44.66,-68.96,10.71,-6.78
-44.62,-68.92,10.7,-6.76
-44.62,-68.85,10.7,-6.73
-44.63,-68.79,10.7,-6.71
-44.62,-68.73,10.71,-6.69
-44.61,-68.67,10.72,-6.68
-44.65,-68.6,10.73,-6.68
-44.74,-68.51,10.76,-6.67
-44.84,-68.42,10.8,-6.67
-44.92,-68.35,10.85,-6.66
-44.93,-68.3,10.91,-6.67
-44.88,-68.29,10.96,-6.7
-44.84,-68.29,10.81,-6.68
-44.82,-68.28,10.81,-6.66
-44.77,-68.27,10.89,-6.65
-44.68,-68.26,10.96,-6.66
-44.59,-68.26,11.02,-6.69
-44.47,-68.25,11.09,-6.71
-44.45,-68.24,11.17,-6.74
-44.45,-68.21,11.25,-6.76
-44.5,-68.18,11.33,-6.79
-44.55,-68.15,11.41,-6.82
-44.6,-68.14,11.48,-6.85
-44.64,-68.15,11.55,-6.87
